Food code,Main food description
26125120,fish
26125121,fish
26125130,fish
26125131,fish
26125140,fish
26125160,fish
26127110,fish
26127120,fish
26127121,fish
26127122,fish
26127123,fish
26127124,fish
26127130,fish
26127131,fish
26127132,fish
26127133,fish
26127134,fish
26127140,fish
26127141,fish
26127142,fish
26127143,fish
26127144,fish
26127160,fish
26129110,fish
26129120,fish
26129121,fish
26129130,fish
26129131,fish
26129140,fish
26129160,fish
26131100,fish
26131110,fish
26131120,fish
26131121,fish
26131130,fish
26131131,fish
26131140,fish
26131160,fish
26131190,fish
26133100,fish
26133110,fish
26133120,fish
26133121,fish
26133130,fish
26133131,fish
26133140,fish
26133160,fish
26135110,fish
26135120,fish
26135121,fish
26135130,fish
26135131,fish
26135140,fish
26135160,fish
26137100,fish
26137110,fish
26137120,fish
26137121,fish
26137122,fish
26137123,fish
26137124,fish
26137130,fish
26137131,fish
26137132,fish
26137133,fish
26137134,fish
26137140,fish
26137141,fish
26137142,fish
26137143,fish
26137144,fish
26137160,fish
26137170,fish
26137180,fish
26137190,fish
26139110,fish
26139170,fish
26139180,fish
26139190,fish
26141110,fish
26141120,fish
26141121,fish
26141130,fish
26141131,fish
26141140,fish
26141160,fish
26141180,fish
26143110,fish
26143120,fish
26143121,fish
26143130,fish
26143131,fish
26143140,fish
26143160,fish
26147110,fish
26147120,fish
26147130,fish
26147140,fish
26147190,fish
26149110,fish
26149120,fish
26149121,fish
26149130,fish
26149131,fish
26149140,fish
26149160,fish
26151110,fish
26151120,fish
26151121,fish
26151122,fish
26151123,fish
26151124,fish
26151130,fish
26151131,fish
26151132,fish
26151133,fish
26151134,fish
26151140,fish
26151141,fish
26151142,fish
26151143,fish
26151144,fish
26151160,fish
26151190,fish
26153100,fish
26153110,fish
26153120,fish
26153122,fish
26153130,fish
26153131,fish
26153140,fish
26153160,fish
26153170,fish
26153190,fish
26155110,fish
26155180,fish
26155190,fish
26157110,fish
26157120,fish
26157121,fish
26157122,fish
26157123,fish
26157124,fish
26157130,fish
26157131,fish
26157132,fish
26157133,fish
26157134,fish
26157140,fish
26157141,fish
26157142,fish
26157143,fish
26157144,fish
26157160,fish
26158000,fish
26158010,fish
26158011,fish
26158012,fish
26158013,fish
26158014,fish
26158020,fish
26158021,fish
26158022,fish
26158023,fish
26158024,fish
26158030,fish
26158031,fish
26158032,fish
26158033,fish
26158034,fish
26158050,fish
26203110,fish
26203160,fish
26205110,fish
26205160,fish
26205170,fish
26205180,fish
26205190,fish
26207110,fish
26209100,fish
26211100,fish
26213100,fish
26213120,fish
26213121,fish
26213130,fish
26213131,fish
